Sent Msg To 0	System Time 0.543	Logical Clock Time 1
Receive From 2	System Time 43.412	Logical Clock Time 255	New Msg Queue Length 8
Receive From 2	System Time 43.914	Logical Clock Time 258	New Msg Queue Length 8
Receive From 0	System Time 44.421	Logical Clock Time 272	New Msg Queue Length 8
Receive From 0	System Time 44.925	Logical Clock Time 273	New Msg Queue Length 8
Receive From 2	System Time 45.431	Logical Clock Time 274	New Msg Queue Length 7
Receive From 0	System Time 45.933	Logical Clock Time 275	New Msg Queue Length 6
Receive From 2	System Time 46.439	Logical Clock Time 276	New Msg Queue Length 7
Receive From 0	System Time 46.943	Logical Clock Time 277	New Msg Queue Length 7
Receive From 2	System Time 47.448	Logical Clock Time 279	New Msg Queue Length 7
Receive From 0	System Time 47.951	Logical Clock Time 283	New Msg Queue Length 8
Receive From 0	System Time 48.453	Logical Clock Time 287	New Msg Queue Length 8
Receive From 0	System Time 48.958	Logical Clock Time 288	New Msg Queue Length 9
Receive From 0	System Time 49.459	Logical Clock Time 298	New Msg Queue Length 11
Receive From 2	System Time 49.964	Logical Clock Time 299	New Msg Queue Length 10
Receive From 2	System Time 50.469	Logical Clock Time 300	New Msg Queue Length 9
Receive From 0	System Time 50.975	Logical Clock Time 304	New Msg Queue Length 9
Receive From 0	System Time 51.478	Logical Clock Time 308	New Msg Queue Length 8
Receive From 2	System Time 51.982	Logical Clock Time 309	New Msg Queue Length 9
Receive From 2	System Time 52.484	Logical Clock Time 310	New Msg Queue Length 9
Receive From 0	System Time 52.990	Logical Clock Time 314	New Msg Queue Length 9
Receive From 2	System Time 53.495	Logical Clock Time 315	New Msg Queue Length 8
Receive From 2	System Time 54.000	Logical Clock Time 316	New Msg Queue Length 7
Receive From 0	System Time 54.506	Logical Clock Time 317	New Msg Queue Length 7
Receive From 0	System Time 55.011	Logical Clock Time 318	New Msg Queue Length 6
Receive From 2	System Time 55.515	Logical Clock Time 323	New Msg Queue Length 5
Receive From 2	System Time 56.020	Logical Clock Time 330	New Msg Queue Length 4
Receive From 0	System Time 56.522	Logical Clock Time 333	New Msg Queue Length 4
Receive From 0	System Time 57.027	Logical Clock Time 337	New Msg Queue Length 5
Receive From 2	System Time 57.532	Logical Clock Time 340	New Msg Queue Length 5
Receive From 0	System Time 58.037	Logical Clock Time 349	New Msg Queue Length 4
Receive From 0	System Time 58.542	Logical Clock Time 361	New Msg Queue Length 5
Receive From 0	System Time 59.048	Logical Clock Time 362	New Msg Queue Length 7
Receive From 0	System Time 59.554	Logical Clock Time 364	New Msg Queue Length 6
Receive From 2	System Time 60.057	Logical Clock Time 365	New Msg Queue Length 6
